l4_id,global_source_id,input_text_hash,top1_l3_id,top1_semantic_score,top1_composite_score,semantic_margin,composite_margin,anchor_top1_votes,eligible_l3_ids,gap_sentinels,decision,abstention_reason
RAI4-0048,GOVRISK-REF-0003,bb8b4cb43392cf024c55e0136634db9d903dc86e1ba77c37f2336abe86ace9ea,RAI3-A-SYS-06,0.619886,0.464915,0.010956,0.008217,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0049,GOVRISK-REF-0004,4101ebb6ee00aef2e1b7886d9acacb73493bf366582c99a7ab3433b9b05d6b05,RAI3-G-SYS-03,0.573202,0.429902,0.000289,0.000217,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0050,GOVRISK-REF-0005,f03c812bd7d0dfd2f497e1efb767f8c9611b70fec4501cb4f796e6111bf70daf,RAI3-A-SYS-01,0.599518,0.449639,0.009807,0.007355,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0051,GOVRISK-REF-0006,9052778eb50b6b555d1739bb47f50c16672b2e3c2bc0af488f6b856556b431c2,RAI3-G-SYS-08,0.597878,0.448409,0.013984,0.010488,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0052,GOVRISK-REF-0007,3f2440791c956438cda377b825d405d45cdefba891cdc4db51dc0fd404fa2725,RAI3-A-SYS-02,0.616633,0.462474,0.030513,0.022885,3,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0053,GOVRISK-REF-0008,68d74cbacd22ebf4f6fa80d870b287a0b1fd554eb4104f9258dfdd826f66ce62,RAI3-G-SYS-08,0.637555,0.478166,0.005304,0.003978,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0054,GOVRISK-REF-0009,9f6152baf6cd61f3203738cb1cec72cc1151dd1b8c3c7b8e11dea6dba6d66572,RAI3-G-SYS-09,0.656307,0.49223,0.045702,0.034276,3,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0055,GOVRISK-REF-0010,9af680a2fbd22a09be40a707f05d0167e5f0d0d7c72976c307fbb751a435884b,RAI3-G-SYS-09,0.613708,0.460281,0.00843,0.006323,3,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0056,GOVRISK-REF-0011,ebb2fa25ac1ca2c79391d66a52b3f8e5c2fc81b737b8a6db58080b3683301f4b,RAI3-G-INT-10,0.586654,0.43999,0.003835,0.002876,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0057,GOVRISK-REF-0012,6316e0735105d89a9feaddfb8847b427c2c3a31710f81ec4fb751bf21d04998e,RAI3-A-SYS-02,0.566102,0.424577,0.003542,0.002656,0,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0058,GOVRISK-REF-0013,06c472d30ab6e1cec2302bbf312e8a51253ff221f9edf45e2713f9fe26ead428,RAI3-A-SYS-02,0.630411,0.472808,0.069827,0.05237,3,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0059,GOVRISK-REF-0014,284ff1189806548024ca9796bcf0536c435555513f3d4acca334a49b4ddb174c,RAI3-G-INT-11,0.569736,0.427302,0.018485,0.013864,1,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0060,GOVRISK-REF-0015,43185d5840d0e92ffcd526ac0110172ce641842207bf9dc0b25f2695e930fd4a,RAI3-A-SYS-01,0.556581,0.417436,0.004907,0.00368,1,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0061,GOVRISK-REF-0016,c2116d0a8875e0e807ab1bcb3c12e8e1c3eaa6dd8d924a8bd454bdfb0e89bf65,RAI3-G-INT-08,0.573763,0.430322,0.006298,0.004724,0,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0062,GOVRISK-REF-0017,e9532d1ebddf34c4485a967ef5777a836440de4dc19dd76d0c3d7173b49d3dfd,RAI3-G-INT-11,0.572922,0.429691,0.007664,0.005748,1,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0063,GOVRISK-REF-0018,9338eff5d5a9417d4f5c35acf3ad52ee8915b98d06c820c85a2671f50dd5155f,RAI3-A-SYS-06,0.593276,0.444957,0.013433,0.010075,1,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0064,GOVRISK-REF-0019,436e4d48dde9cc8949c30e800d6f66962eeefe9376badefac9c3cd8fc28b9e1a,RAI3-A-SYS-06,0.593801,0.445351,0.005643,0.004232,1,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0065,GOVRISK-REF-0020,f0e4558351a0fd7738ee90fe2df2a5b40b804a9e804d7edb7a01628d5aeaa3fd,RAI3-G-SYS-08,0.574573,0.43093,0.020872,0.015654,2,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0066,GOVRISK-REF-0021,8feff52d9aaa6d9b7ece8998377b4f7d131b2accd90985245e4f916cf7e97f0b,RAI3-G-SYS-07,0.558036,0.418527,0.018498,0.013873,1,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0067,GOVRISK-REF-0022,3e9833da9545f40ef8fc46943d69f2adcd18fb47c890bab4279a908089a731ce,RAI3-G-SYS-07,0.608405,0.456304,0.033573,0.02518,1,[],"[""GOVERNANCE_AUDIT_REGULATION""]",needs_taxonomy_decision,GAP_SENTINEL
RAI4-0068,GOVRISK-REF-0023,f5922c8494fb9bbf34714beb3a5748eea520788b40be6e9983fc5f18d57e91b2,RAI3-G-SYS-03,0.60224,0.45168,0.018732,0.014049,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0069,GOVRISK-REF-0024,be1bdc1d9685eacb702fdac31f8f978d50020dc0d2b172535bd4492e1792fd5f,RAI3-G-SYS-03,0.583358,0.437518,9.2e-05,6.9e-05,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0070,GOVRISK-REF-0025,f937d5a1a5c92bc069f842d00fcd98d135334b53b53aeaf5a2b1e8ba2173271e,RAI3-G-SYS-05,0.59591,0.656932,0.035904,0.236928,2,"[""RAI3-G-SYS-05""]",[],algorithm_proposed,
RAI4-0071,GOVRISK-REF-0026,27cc6955d72e2f30b0c7b54a0c68e0a297eb0fc5b29f58d7a8535d445fcdfc03,RAI3-G-SYS-01,0.584917,0.438688,0.001775,0.001331,0,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0072,GOVRISK-REF-0027,2944e15ababfff9437f12ca21fdda1e52b78cdc181608a61c020e0703a9db87a,RAI3-G-INT-06,0.568233,0.426174,0.000926,0.000695,0,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0073,GOVRISK-REF-0028,f5432d0926ee77d67dbcb2a73b480f4a21472aafce85955225652cd409177a90,RAI3-G-SYS-09,0.554698,0.416024,0.009957,0.007468,2,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0074,GOVRISK-REF-0029,329e7287bc798801626900fb21668f86b2f94b7ab627009dbd674a48347053bd,RAI3-A-SYS-02,0.571304,0.428478,0.008358,0.006268,1,[],[],needs_taxonomy_decision,NO_VALID_L3
RAI4-0075,GOVRISK-REF-0030,8a31c0a2b57180b224ffc2c774a8e7470196d89651516e232301db28a82bfddb,RAI3-G-SYS-09,0.574828,0.431121,0.014393,0.010795,2,[],[],needs_taxonomy_decision,NO_VALID_L3
