source_row_id,source_domain,source_l4_id,final_l4_id,final_l1_id,final_l3_id,status
SRC-G-0221,General,RAI4-0422,G_Others_106,L1_G,G_Others,ACTIVE
SRC-G-0222,General,RAI4-0529,,,,DELETED
SRC-G-0223,General,RAI4-0939,G_INT_POL_002,L1_G,G_INT_POL,ACTIVE
SRC-G-0224,General,RAI4-1158,G_Others_092,L1_G,G_Others,ACTIVE
SRC-G-0225,General,RAI4-1159,G_INT_POL_006,L1_G,G_INT_POL,ACTIVE
SRC-G-0226,General,RAI4-0433,G_INT_PRIV_003,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0227,General,RAI4-0652,G_SYS_MISINFO_024,L1_G,G_SYS_MISINFO,ACTIVE
SRC-G-0228,General,RAI4-0734,G_Others_014,L1_G,G_Others,ACTIVE
SRC-G-0229,General,RAI4-0739,G_INT_PRIV_009,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0230,General,RAI4-0741,G_INT_PRIV_010,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0231,General,RAI4-0761,G_INT_PRIV_023,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0232,General,RAI4-0922,G_INT_PRIV_021,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0233,General,RAI4-1062,G_INT_PRIV_006,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0234,General,RAI4-1139,G_INT_PRIV_002,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0235,General,RAI4-1169,G_INT_PRIV_019,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0236,General,RAI4-1207,G_INT_PRIV_017,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0237,General,RAI4-1273,G_INT_PRIV_018,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0238,General,RAI4-1364,G_INT_PRIV_016,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0239,General,RAI4-1444,G_INT_PRIV_025,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0240,General,RAI4-1581,G_Others_079,L1_G,G_Others,ACTIVE
SRC-G-0241,General,RAI4-1722,G_INT_PRIV_005,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0242,General,RAI4-0653,G_INT_UNETH_003,L1_G,G_INT_UNETH,ACTIVE
SRC-G-0243,General,RAI4-1059,G_INT_ILLEGAL_004,L1_G,G_INT_ILLEGAL,ACTIVE
SRC-G-0244,General,RAI4-1060,G_Others_066,L1_G,G_Others,ACTIVE
SRC-G-0245,General,RAI4-1076,G_INT_UNETH_008,L1_G,G_INT_UNETH,ACTIVE
SRC-G-0246,General,RAI4-1192,G_SYS_MISINFO_002,L1_G,G_SYS_MISINFO,ACTIVE
SRC-G-0247,General,RAI4-1320,G_SYS_MISINFO_025,L1_G,G_SYS_MISINFO,ACTIVE
SRC-G-0248,General,RAI4-1435,G_INT_UNETH_022,L1_G,G_INT_UNETH,ACTIVE
SRC-G-0249,General,RAI4-1652,G_SYS_SECADV_023,L1_G,G_SYS_SECADV,ACTIVE
SRC-G-0250,General,RAI4-0628,G_INT_COPY_004,L1_G,G_INT_COPY,ACTIVE
SRC-G-0251,General,RAI4-0663,G_Others_115,L1_G,G_Others,ACTIVE
SRC-G-0252,General,RAI4-0667,G_Others_022,L1_G,G_Others,ACTIVE
SRC-G-0253,General,RAI4-0740,G_INT_COPY_005,L1_G,G_INT_COPY,ACTIVE
SRC-G-0254,General,RAI4-1066,G_Others_037,L1_G,G_Others,ACTIVE
SRC-G-0255,General,RAI4-1091,G_Others_100,L1_G,G_Others,ACTIVE
SRC-G-0256,General,RAI4-0446,G_INT_WEAP_002,L1_G,G_INT_WEAP,ACTIVE
SRC-G-0257,General,RAI4-0646,G_INT_WEAP_008,L1_G,G_INT_WEAP,ACTIVE
SRC-G-0258,General,RAI4-0662,G_INT_WEAP_009,L1_G,G_INT_WEAP,ACTIVE
SRC-G-0259,General,RAI4-0664,G_INT_WEAP_004,L1_G,G_INT_WEAP,ACTIVE
SRC-G-0260,General,RAI4-0961,G_INT_WEAP_012,L1_G,G_INT_WEAP,ACTIVE
SRC-G-0261,General,RAI4-1118,G_INT_WEAP_015,L1_G,G_INT_WEAP,ACTIVE
SRC-G-0262,General,RAI4-1160,G_INT_WEAP_018,L1_G,G_INT_WEAP,ACTIVE
SRC-G-0263,General,RAI4-1295,G_SOC_ENV_017,L1_G,G_SOC_ENV,ACTIVE
SRC-G-0264,General,RAI4-1392,G_INT_WEAP_014,L1_G,G_INT_WEAP,ACTIVE
SRC-G-0265,General,RAI4-1563,G_INT_WEAP_003,L1_G,G_INT_WEAP,ACTIVE
SRC-G-0266,General,RAI4-1050,G_INT_UNETH_018,L1_G,G_INT_UNETH,ACTIVE
SRC-G-0267,General,RAI4-1434,G_INT_UNETH_007,L1_G,G_INT_UNETH,ACTIVE
SRC-G-0268,General,RAI4-1636,G_INT_UNETH_019,L1_G,G_INT_UNETH,ACTIVE
SRC-G-0269,General,RAI4-0140,G_SYS_CONTEXT_007,L1_G,G_SYS_CONTEXT,ACTIVE
SRC-G-0270,General,RAI4-0435,G_SYS_SECADV_012,L1_G,G_SYS_SECADV,ACTIVE
SRC-G-0271,General,RAI4-0436,G_SYS_SECADV_024,L1_G,G_SYS_SECADV,ACTIVE
SRC-G-0272,General,RAI4-0593,G_INT_PRIV_012,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0273,General,RAI4-0619,G_INT_UNETH_005,L1_G,G_INT_UNETH,ACTIVE
SRC-G-0274,General,RAI4-0721,G_SYS_SECADV_027,L1_G,G_SYS_SECADV,ACTIVE
SRC-G-0275,General,RAI4-0733,G_SYS_POLICY_001,L1_G,G_SYS_POLICY,ACTIVE
SRC-G-0276,General,RAI4-0753,G_SYS_POLICY_007,L1_G,G_SYS_POLICY,ACTIVE
SRC-G-0277,General,RAI4-0760,G_INT_PRIV_015,L1_G,G_INT_PRIV,ACTIVE
SRC-G-0278,General,RAI4-0788,G_Others_083,L1_G,G_Others,ACTIVE
SRC-G-0279,General,RAI4-1173,G_Others_129,L1_G,G_Others,ACTIVE
SRC-G-0280,General,RAI4-1494,G_SYS_SECADV_031,L1_G,G_SYS_SECADV,ACTIVE
SRC-G-0281,General,RAI4-1508,G_SYS_EVAL_026,L1_G,G_SYS_EVAL,ACTIVE
SRC-G-0282,General,RAI4-1564,G_INT_WEAP_007,L1_G,G_INT_WEAP,ACTIVE
SRC-G-0283,General,RAI4-1687,G_SYS_SECADV_035,L1_G,G_SYS_SECADV,ACTIVE
SRC-G-0284,General,RAI4-0356,G_SOC_ENV_001,L1_G,G_SOC_ENV,ACTIVE
